,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-calibration,Jupyter Notebook
61,ml-capsules-inverted-attention-routing,Python
62,ml-cifar-10-faster,Python
63,ml-code-switched-speech-translation,Python
64,ml-codeswitching-translations,
65,ml-collegial-ensembles,Python
66,ml-compress-and-compare,Python
67,ml-core,Python
68,ml-covid-mobility,R
69,ml-cread,Python
70,ml-cvnets,Python
71,ml-cvpr2019-swd,Python
72,ml-dab,Python
73,ml-data-parameters,Python
74,ml-delphi,
75,ml-depth-pro,Python
76,ml-destseg,Python
77,ml-diffusion-alignment-gflownet,Python
78,ml-direct2.5,Python
79,ml-dms-dataset,Python
80,ml-dprecs,Jupyter Notebook
81,ml-dr,Python
82,ml-duet,Python
83,ml-entity-deduction-arena,Python
84,ml-entropy-reconstruction,Python
85,ml-envmapnet,Python
86,ml-equivariant-neural-rendering,Jupyter Notebook
87,ml-facelit,Python
88,ml-famae,Python
89,ml-fastvit,Python
90,ml-fct,Python
91,ml-ferret,Python
92,ml-finerecon,Python
93,ml-flair,Jupyter Notebook
94,ml-gaudi,
95,ml-gendered-translation,Ruby
96,ml-gmpi,Python
97,ml-gsn,Python
98,ml-hd-gist,Python
99,ml-heart-rate-models,Python
100,ml-hierarchical-confusion-matrix,TypeScript
101,ml-hugs,Python
102,ml-hypersim,Python
103,ml-interspeech2022-phi_rtn,
104,ml-jointnet,Python
105,ml-key-retrieval-code-tasks,Python
106,ml-keyframer,JavaScript
107,ml-kge,Python
108,ml-knowledge-conflicts,Python
109,ml-live-pose,
110,ml-llarp,Python
111,ml-lucid-datagen,Python
112,ml-mdm,Python
113,ml-mgie,Python
114,ml-mia-bench,Jupyter Notebook
115,ml-MixupMP,Python
116,ml-mkqa,Python
117,ml-mobileclip,Python
118,ml-mobileone,Swift
119,ml-mofi,Python
120,ml-multiple-futures-prediction,Python
121,ml-mycelium,JavaScript
122,ml-ncg,Python
123,ml-neilf,Python
124,ml-neilfpp,Python
125,ml-neuman,Python
126,ml-no-token-left-behind,Jupyter Notebook
127,ml-np-rasp,Python
128,ml-nvas3d,Python
129,ml-ogen,Python
130,ml-pgdvs,Python
131,ml-planner,Python
132,ml-pointconvformer,Python
133,ml-pointersect,Python
134,ml-probabilistic-attention,Python
135,ml-projunit,Python
136,ml-qrecc,Python
137,ml-quant,Python
138,ml-recurrent-drafter,Python
139,ml-reed,Python
140,ml-rlgrad,Python
141,ml-robust-expert-augmentations,Python
142,ml-rpm-bench,Python
143,ml-sad,Python
144,ml-sampleplan,Python
145,ml-selfcond,Python
146,ml-shuffling-amplification,Python
147,ml-sigma-reparam,Python
148,ml-sigmoid-attention,Python
149,ml-slowfast-llava,Python
150,ml-spatial-librispeech,
151,ml-spin,Python
152,ml-stable-diffusion,Python
153,ml-stabledreamer,
154,ml-stuttering-events-dataset,Python
155,ml-superposition-prompting,Python
156,ml-symphony,Svelte
157,ml-tic-clip,Python
158,ml-toad,Python
159,ml-tract,Python
160,ml-transcript-translation-consistency-ratings,
161,ml-translate-vis,TypeScript
162,ml-tree-dst,Python
163,ml-tune-mode-convbn,Python
164,ml-tweak,Python
165,ml-upscale,Jupyter Notebook
166,ml-uwac,Python
167,ml-veclip,Jupyter Notebook
168,ml-vfi-smiff,Python
169,ml-vfm-kt,
170,ml-vision-transformers-ane,Python
171,music-feed-examples,Java
172,openjdk,Java
173,password-manager-resources,JavaScript
174,pfl-research,Jupyter Notebook
175,pkl,Java
176,pkl-evolution,
177,pkl-go,Go
178,pkl-go-examples,Go
179,pkl-intellij,Kotlin
180,pkl-jvm-examples,Groovy
181,pkl-k8s,Pkl
182,pkl-k8s-examples,
183,pkl-lang.org,JavaScript
184,pkl-lsp,Kotlin
185,pkl-neovim,Scheme
186,pkl-package-docs,Kotlin
187,pkl-pantry,Pkl
188,pkl-project-commons,
189,pkl-spring,Java
190,pkl-swift,Swift
191,pkl-swift-examples,Swift
192,pkl-vscode,TypeScript
193,pkl.tmbundle,
194,pytorch-speech-features,Python
195,rules_pkl,Starlark
196,sample-backyard-birds,Swift
197,sample-cloudkit-coredatasync,Swift
198,sample-cloudkit-encryption,Swift
199,sample-cloudkit-privatedb,Swift
200,sample-cloudkit-privatedb-sync,Swift
201,sample-cloudkit-queries,Swift
202,sample-cloudkit-sharing,Swift
203,sample-cloudkit-sync-engine,Swift
204,sample-cloudkit-tooling,JavaScript
205,sample-cloudkit-zonesharing,Swift
206,sample-food-truck,Swift
207,servicetalk,Java
208,swift-3-api-guidelines-review,Swift
209,swift-algorithms,Swift
210,swift-aoc-starter-example,Swift
211,swift-argument-parser,Swift
212,swift-asn1,Swift
213,swift-async-algorithms,Swift
214,swift-async-dns-resolver,Swift
215,swift-atomics,Swift
216,swift-cassandra-client,Swift
217,swift-certificates,Swift
218,swift-clang,C++
219,swift-clang-tools-extra,C++
220,swift-cluster-membership,Swift
221,swift-cmake-examples,CMake
222,swift-collections,Swift
223,swift-collections-benchmark,Swift
224,swift-compiler-rt,C
225,swift-container-plugin,Swift
226,swift-corelibs-libdispatch,C
227,swift-crypto,C
228,swift-distributed-actors,Swift
229,swift-distributed-tracing,Swift
230,swift-distributed-tracing-baggage-core,Swift
231,swift-distributed-tracing-extras,Swift
232,swift-embedded-examples,Swift
233,swift-evolution-staging,Swift
234,swift-for-wasm-examples,Swift
235,swift-getting-started-cli,Swift
236,swift-getting-started-package-library,Swift
237,swift-homomorphic-encryption,Swift
238,swift-homomorphic-encryption-protobuf,
239,swift-http-structured-headers,Swift
240,swift-http-types,Swift
241,swift-internals,HTML
242,swift-issues,
243,swift-libcxx,C++
244,swift-llbuild2,Swift
245,swift-lldb,C++
246,swift-llvm,LLVM
247,swift-log,Swift
248,swift-matter-examples,Swift
249,swift-metrics,Swift
250,swift-metrics-extras,Swift
251,swift-migration-guide,Markdown
252,swift-mmio,Swift
253,swift-nio,Swift
254,swift-nio-examples,Swift
255,swift-nio-extras,Swift
256,swift-nio-http2,Swift
257,swift-nio-imap,Swift
258,swift-nio-nghttp2-support,Swift
259,swift-nio-oblivious-http,Swift
260,swift-nio-ssh,Swift
261,swift-nio-ssl,C
262,swift-nio-ssl-support,Swift
263,swift-nio-transport-services,Swift
264,swift-nio-zlib-support,Swift
265,swift-numerics,Swift
266,swift-openapi-generator,Swift
267,swift-openapi-runtime,Swift
268,swift-openapi-urlsession,Swift
269,swift-playdate-examples,Swift
270,swift-protobuf,Swift
271,swift-protobuf-plugin,
272,swift-protobuf-test-conformance,
273,swift-sample-distributed-actors-transport,Swift
274,swift-service-context,Swift
275,swift-service-discovery,Swift
276,swift-standard-library-preview,Swift
277,swift-statsd-client,Swift
278,swift-string-processing-benchmarks,Swift
279,swift-system,Swift
280,swift-tools-support-async,Swift
281,swift-xcode-playground-support,Swift
282,swiftpm-on-llbuild2,Swift
283,tensor-visualizer,Svelte
284,tensorflow_macos,Shell
285,ToolSandbox,Python
286,tree-sitter-pkl,C
287,turicreate,C++
288,unityplugins,C#
289,VideoFlashingReduction,Mathematica
290,vqg-multimodal-assistant,Python
